index,Título,Propósito general del curso,Área temática,Nivel,Resultados de aprendizaje esperados,proposito_norm
10,Agua y sales para una vida saludable,"Comprender la importancia del agua y las sales en tu cuerpo, así como implementar estrategias que te ayuden a conservar tu salud, mejorar tu atención y tu rendimiento físico y mental.",Medicina y salud,Introductorio ,"* Conocer el funcionamiento del cuerpo en cuanto a la ganancia y pérdida de líquidos, así como la composición de los líquidos corporales.
* Conocer las implicaciones que tiene el desbalance entre ácidos y bases en el cuerpo.
* Identificar la función de los iones magnesio, calcio y fosfato en el cuerpo, así como las consecuencias de su concentración en exceso.
* Conocer las características del cloro y evidenciar las implicaciones que tiene para la salud en diversos contextos.",conocer funcionamiento cuerpo cuanto ganancia pérdida líquidos composición líquidos corporales conocer implicaciones desbalance ácidos bases cuerpo identificar función iones magnesio calcio fosfato cuerpo consecuencias concentración exceso conocer características cloro evidenciar implicaciones salud diversos contextos 
11,Educación emocional para el bienestar personal,"Desarrollar competencias emocionales a través de la educación emocional que favorezcan herramientas para el manejo de aspectos individuales, relacionales y contextuales, que permitan alcanzar tus metas personales.","Desarrollo personal
Salud y seguridad",Introductorio ,"* Percibir adecuadamente las emociones que se experimenta en sí mismo y en los
demás para poder identificar lo que se siente.

* Manejar las emociones de forma tal que se garantice la regulación de las mismas. 

* Atender y comprender las emociones, acorde a las situaciones que se experimentan.

* Identificar estrategias relacionales que promuevan el establecimiento de interacciones afables.

* Lograr una agencia emocional que promueva el bienestar individual y las relaciones interpersonales sanas.",percibir adecuadamente emociones experimenta mismo demás poder identificar manejar emociones forma garantice regulación mismas atender comprender emociones acorde situaciones experimentan identificar estrategias relacionales promuevan establecimiento interacciones afables lograr agencia emocional promueva bienestar individual relaciones interpersonales sanas 
12,Design Thinking y ODS: creando soluciones innovadoras,"Identificar necesidades y crear soluciones innovadoras centradas en lo humano, en el marco de los objetivos de desarrollo sostenible (ODS).","Innovación y resolución de problemas
Negocios y administración",Introductorio,"* Conocer el proceso de Design Thinking para desarrollar soluciones creativas que respondan a los objetivos de desarrollo sostenible.

* Entender cómo a través de la observación y la empatía se identifican problemas centrados en lo humano.

* Aprender a desarrollar el potencial creativo para generar soluciones innovadoras.

* Aprender a hacer tangibles las ideas para presentarlas.

* Identificar la ruta para aplicar el Design Thinking con un equipo multidisciplinar.
",conocer proceso design thinking desarrollar soluciones creativas respondan objetivos desarrollo sostenible entender través observación empatía identifican problemas centrados humano aprender desarrollar potencial creativo generar soluciones innovadoras aprender hacer tangibles ideas presentarlas identificar aplicar design thinking equipo multidisciplinar 
13,"Incidencia política desde las comunidades. ODS 16: Paz, justicia e instituciones sólidas",Fortalecer habilidades organizativas que contribuyan al desarrollo de estrategias de incidencia y participación política mediante el diálogo y la articulación de gobiernos locales a fin de incidir en las políticas públicas locales. ,"Ciencias humanas
Ciencias sociales",Introductorio,"* Aprenderemos las formas convencionales y no onvencionales de incidir
en política.

* Aprenderemos cómo transformar nuestra realidad en los territorios a través de planes de acción y hojas de ruta que faciliten la formulación, implementación y evaluación de instrumentos políticos.

* Elaboración de planes de acción para la incidencia política y cabildeo que permitan generar propuestas de construcción de paz en el territorio.

* Aprenderemos cómo desde las comunidades se logra responder al ODS 16.
",aprenderemos formas convencionales onvencionales incidir política aprenderemos transformar realidad territorios través planes acción hojas faciliten formulación implementación evaluación instrumentos políticos elaboración planes acción incidencia política cabildeo permitan generar propuestas construcción territorio aprenderemos comunidades logra responder 
14,Fisioterapia en el cáncer infantil,"Explorar el rol del fisioterapeuta y la importancia de este en la oncología pediátrica, reconociendo las enfermedades más comunes en esta población y su intervención, teniendo en cuenta los abordajes fisioterapéuticos más adecuados y seguros.",Medicina y salud,Intermedio ,"* Recorrido sobre la biología y desarrollo del cáncer, con énfasis en los síntomas de los tumores cerebrales y otras tipologías de cáncer. 

* Abordaje de los elementos y aspectos clave para el tratamiento del cáncer
desde parámetros clínicos y la intervención fisioterapéutica.

* Reconocer la importancia de la actividad física en pacientes con cáncer.",recorrido biología desarrollo cáncer énfasis síntomas tumores cerebrales tipologías cáncer abordaje elementos aspectos clave tratamiento cáncer parámetros clínicos intervención fisioterapéutica reconocer importancia actividad física pacientes cáncer 
15,Fundamentos de fotografía médica,"Identificar los fundamentos de la fotografía médica, su utilidad y recomendaciones para capturar fotografías útiles para realizar el seguimiento de tratamientos médicos, verificar la evolución de los pacientes y publicar resultados de investigación en este campo.",Medicina y salud,Introductorio,"* Conocer la historia de la fotografía médica, sus usosy aspectos legales, e identificar los tipos de cámaras y sus partes.

* Conocer las principales estrategias para la captura de fotografías faciales, de tronco y extremidades, así como emplear adecuadamente la velocidad de obturación, el ISO y la apertura del diafragma en la toma de fotografías.

* Reconocer las diferencias entre signo, síntoma y síndrome, y conocer el proceso para tomar fotografías en el quirófano.

* Conocer el procesamiento de imágenes de especímenes patológicos y aproximarse a la edición de fotografías y el manejo de estas en redes sociales",conocer historia fotografía médica usosy aspectos legales identificar tipos cámaras partes conocer principales estrategias captura fotografías faciales tronco extremidades emplear adecuadamente velocidad obturación apertura diafragma fotografías reconocer diferencias signo síntoma síndrome conocer proceso tomar fotografías quirófano conocer procesamiento imágenes especímenes patológicos aproximarse edición fotografías manejo redes sociales 
16,Elementos matemáticos para el pensamiento crítico,"Identificar dos de los pilares de las matemáticas que se usan frecuentemente, tanto en situaciones de la cotidianidad, como en los cursos de matemáticas universitarias: la aritmética y el álgebra.",Matemáticas,Introductorio,"* Identificar herramientas de la aritmética útiles para próximos cursos de matemáticas y para enfrentar situaciones de la cotidianidad que requieren del uso de las matemáticas.

* Reconocer los exponentes, sus propiedades, realizar operaciones entre polinomios, así como usar los productos notables y la factorización.",identificar herramientas aritmética útiles próximos cursos matemáticas enfrentar situaciones cotidianidad requieren matemáticas reconocer exponentes propiedades realizar operaciones polinomios productos notables factorización 
17,Inglés para todos: nivel básico,Identificar las expresiones y estructuras más básicas del inglés como  base fundamental del idioma.,"Ciencias humanas
Idiomas",Introductorio,"* Explorar e identificar tus conocimientos sobre del idioma inglés.

* Reconocer la información personal básica que se encuentra en textos orales y escritos, así como el alfabeto, los números y todo lo básico para presentarte.

* Identificar vocabulario relacionado con invitaciones, sentimientos y lenguaje corporal.

* Interpretar conversaciones cortas, expresar nacionalidad, hacer y responder preguntas básicas y usar los saludos correctos de acuerdo con la situación. 

* Describir lugares y tus propios alrededores. ",explorar identificar conocimientos idioma inglés reconocer información personal básica encuentra textos orales escritos alfabeto números básico presentarte identificar vocabulario relacionado invitaciones sentimientos lenguaje corporal interpretar conversaciones cortas expresar nacionalidad hacer responder preguntas básicas saludos correctos acuerdo situación describir lugares propios alrededores 
18,"Orientación para elección de carrera, conociéndome decido", Identificar herramientas que permitan mejorar la transición de la educación media a la superior a través del reconocimiento de  posturas propias y claras del proyecto de vida profesional u ocupacional.,"Desarrollo personal
Humanidades",Introductorio ,"* Identificar las creencias que tienes acerca de ti mismo, del mundo de la formación y del mundo del trabajo.

* Identificar tus deseos y expectativas en el ámbito educativo, profesional y laboral. Además, podrás conciliar estos deseos con las oportunidades de lograrlos.

* Reflexionar, identificar y organizar tus prioridades personales que te permitan tener herramientas de planificación y proyección personal.

* Reconocer la relación que tienen tus habilidades y competencias con las diferentes áreas de conocimiento, carreras y ocupaciones.
",identificar creencias acerca mismo mundo formación mundo trabajo identificar deseos expectativas ámbito educativo profesional laboral además podrás conciliar deseos oportunidades lograrlos reflexionar identificar organizar prioridades personales permitan tener herramientas planificación proyección personal reconocer relación habilidades competencias diferentes áreas conocimiento carreras ocupaciones 
19,Fundamentos de programación de computadores,"Identificar los conceptos básicos de programación en lenguaje Python, así como los conceptos básicos del paradigma de programación orientada a objetos.",Análisis de datos y computación,Introductorio ,"* Conocer los fundamentos de programación, datos históricos relevantes y aplicar lenguaje de programación Python.

* Comprender los conceptos fundamentales de programación como expresiones, funciones, condicionales, iteraciones, cadenas de caracteres, colecciones, módulos y archivos.

* Conocer y aplicar el paradigma de programación orientada a objetos como clases, objetos, excepciones y herencia.",conocer fundamentos programación datos históricos relevantes aplicar lenguaje programación python comprender conceptos fundamentales programación expresiones funciones condicionales iteraciones cadenas caracteres colecciones módulos archivos conocer aplicar paradigma programación orientada objetos clases objetos excepciones herencia 
20,Fundamentos de álgebra lineal, Conocer el concepto de álgebra lineal y aproximarse a los temas más importantes que todo ingeniero o científico de datos debería conocer.,Análisis de datos y computación,Intermedio ,"* Comprender el concepto de vector, su denominación y cuáles son sus componentes.

* Reconocer el concepto de matriz e identificar los diferentes tipos de estas.

* Identificar qué es un espacio y un subespacio vectorial, conceptos fundamentales en el álgebra lineal.

*Comprender el concepto de transformación lineal, los tipos y procedimientos para calcularlas, y reconocer los valores y los vectorespropios asociados a una matriz cuadrada. ",comprender concepto vector denominación cuáles componentes reconocer concepto matriz identificar diferentes tipos identificar espacio subespacio vectorial conceptos fundamentales álgebra lineal comprender concepto transformación lineal tipos procedimientos calcularlas reconocer valores vectorespropios asociados matriz cuadrada 
21,Probabilidad y estadística,"Comprender los conceptos teóricos fundamentales de la probabilidad junto con sus aplicaciones más frecuentes en estadística. 
",Matemáticas,Intermedio ,"* Conocer las bases teóricas de la probabilidad, modelos probabilísticos, funciones y axiomas de probabilidad e identificar aplicaciones de conteo, en escenarios frecuentes que presentan algún grado de incertidumbre.

* Reconocer la teoría y las aplicaciones de las variables aleatorias (discretas y continuas), y generalizar los conceptos previamente vistos al contexto de múltiples variables aleatorias conjuntas.

* Comprender los teoremas de límite probabilísticos fundamentales de la estadística
moderna.

* Identificar desde el enfoque de la estadística, la estimación paramética y las pruebas de hipótesis.

* Elaborar modelos probabilísticos en la forma de regresiones lineales.",conocer bases teóricas probabilidad modelos probabilísticos funciones axiomas probabilidad identificar aplicaciones conteo escenarios frecuentes presentan algún grado incertidumbre reconocer teoría aplicaciones variables aleatorias discretas continuas generalizar conceptos previamente vistos contexto múltiples variables aleatorias conjuntas comprender teoremas límite probabilísticos fundamentales estadística moderna identificar enfoque estadística estimación paramética pruebas hipótesis elaborar modelos probabilísticos forma regresiones lineales 
22,Bases de datos,"Comprender  los conceptos relacionados con el diseño y creación de bases de datos, manipulación y consulta de datos mediante diferentes enfoques.",Análisis de datos y computación,Intermedio,"* Identificar los conceptos clave relacionados con las bases de datos, hitos históricos y herramientas para diseñar, crear y administrar bases de datos.

* Comprender las bases datos relacionales, vinculados con el lenguaje SQL para modificación, eliminación de tablas, inserción, actualización, eliminación de datos, consultas, vistas y análisis de datos basados en OLAP.

* Conocer los elementos necesarios para el diseño de bases de datos mediante el modelo entidad relación y procesos de normalización exponiendo desde la primera forma normal
hasta la cuarta forma normal.",identificar conceptos clave relacionados bases datos hitos históricos herramientas diseñar crear administrar bases datos comprender bases datos relacionales vinculados lenguaje modificación eliminación tablas inserción actualización eliminación datos consultas vistas análisis datos basados olap conocer elementos necesarios diseño bases datos mediante modelo entidad relación procesos normalización exponiendo primera forma normal cuarta forma normal 
23,Introducción a la optimización,"Conocer algunos de los conceptos más importantes de la optimización, acercándose a los aspectos más relevantes que serán útiles en diferentes campos tales como la ciencia de datos.",Análisis de datos y computación,Intermedio ,"
* Conocer los conceptos básicos y aprender cómo resolver un problema gráficamente y con el método simplex.

* Comprender el análisis de sensibilidad, la teoría de la dualidad y utilizar el método simplex de las dos fases para resolver problemas de optimización lineal.

* Comprender la optimización lineal para problemas en una sola dimensión.

* Conocer los métodos de optimización no lineal para problemas sin restricciones, tales como el método del descenso gradiente y resolver problemas de optimización no lineal con restricciones. ",conocer conceptos básicos aprender resolver problema gráficamente método simplex comprender análisis sensibilidad teoría dualidad utilizar método simplex fases resolver problemas optimización lineal comprender optimización lineal problemas dimensión conocer métodos optimización lineal problemas restricciones tales método descenso gradiente resolver problemas optimización lineal restricciones 
24,Redes de computadores,"Identificar los  fundamentos de  las redes de computadores, incluyendo su arquitectura, protocolos y los aspectos a considerar para hacerlas seguras.",Análisis de datos y computación,Intermedio ,"
* Comprender la arquitectura actual de internet basada en el modelo TCP/IP y los principios de los protocolos de la capa de aplicación HTTP y DNS.

* Entender el funcionamiento de los protocolos de la capa de transporte TCP y UDP y la forma como se realiza el direccionamiento IP. 

* Comprender los algoritmos de enrutamiento más esenciales y diferenciar los medios de transmisión más comunes dentro de una red de computadores.

* Identificar las diferencias esenciales entre una red cableada, la inalámbrica e identificar vulnerabilidades comunes en protocolos de red, reconociento los mecanismos de protección más comunes.",comprender arquitectura actual internet basada modelo tcpip principios protocolos aplicación entender funcionamiento protocolos transporte forma realiza direccionamiento comprender algoritmos enrutamiento esenciales diferenciar medios transmisión comunes dentro computadores identificar diferencias esenciales cableada inalámbrica identificar vulnerabilidades comunes protocolos reconociento mecanismos protección comunes 
25,Arquitectura indígena y afrodescendiente en America Latina y El Caribe,"Interpretar los agentes básicos para la compresión de la arquitectura en las comunidades indígenas y afrodescendientes de América Latina y el Caribe, referentes para una reivindicación de un legado vigente y consciente de la naturaleza y el ambiente desde el concepto de transmodernidad.","Arte, diseño y cultura",Introductorio ,"*  Identificar el contexto desde el paisaje y su evolución.

*  Comprender las diversidades desde la arquitectura y la apropiación con el territorio y respuesta desde lo vernáculo con mirada glocal.

* Conocer las respuestas desde la arquitectura vernácula como punto de reflexión en su valores estéticos, simbólicos y tectónicos.

* Reflexionar desde la arquitectura, ante el momento actual que estamos viviendo incluyendo la pandemia y cambio climático, considerando que podemos aprender de las acciones y prácticas de las comunidades indígenas y afrodescendientes en América latina y el Caribe.",identificar contexto paisaje evolución comprender diversidades arquitectura apropiación territorio respuesta vernáculo mirada glocal conocer respuestas arquitectura vernácula punto reflexión valores estéticos simbólicos tectónicos reflexionar arquitectura momento actual viviendo incluyendo pandemia cambio climático considerando podemos aprender acciones prácticas comunidades indígenas afrodescendientes américa latina caribe 
26,Arte indigena contemporáneo,"
Reflexionar sobre los conceptos  contemporáneos de identidad,   resistencia,  género,  ritual y  cuerpo, a través de la creación y experimentación plástica y  el recorrido por diferentes prácticas artísticas indígenas. ","Arte, diseño y cultura",Introductorio ,"
*  Evidenciar los procesos de construcción de la identidad indígena contemporánea a través del quehacer artístico/plástico.

*  Reflexionar en torno a los conceptos de identidad, resistencia, género, ritual y cuerpo desde la perspectiva Misak.

*  Comprender mediante una perspectiva crítica, el proceso de construcción de la identidad femenina dentro de la comunidad Misak, en relación con la contemporaneidad.

*  Conocer la práctica del hilar y generar una reflexión alrededor de ésta, a partir de la cosmovisión de las comunidades Nasa y Misak.",evidenciar procesos construcción identidad indígena contemporánea través quehacer artísticoplástico reflexionar torno conceptos identidad resistencia género ritual cuerpo perspectiva misak comprender mediante perspectiva crítica proceso construcción identidad femenina dentro comunidad misak relación contemporaneidad conocer práctica hilar generar reflexión alrededor ésta partir cosmovisión comunidades misak 
27,Industrias creativas y culturales en Latinoamérica,"Comprender las industrias creativas a través  el contexto normativo general en Latinoamérica, pasando por las bases sobre las cuales se construyen sus modelos de negocio y algunas de las características requeridas que puedan garantizar su sostenibilidad.","Arte, diseño y cultura",Introductorio ,"* Dar un contexto sobre el origen, los conceptos clave y el recorrido histórico de la industria creativa y cultural, para reconocer los hitos relevantes en el marco de la políticas pública, el impacto social y el tejido cultural. 

* Conocer cómo proteger el capital creativo y cuál es la base para cualquier iniciativa, proyecto o modelo de negocio.

* Conocer los elementos que constituyen los emprendimientos creativos, e identificar los mínimos requeridos para la definición estratégica de un emprendimiento",contexto origen conceptos clave recorrido histórico industria creativa cultural reconocer hitos relevantes marco políticas pública impacto social tejido cultural conocer proteger capital creativo cualquier iniciativa proyecto modelo negocio conocer elementos constituyen emprendimientos creativos identificar mínimos requeridos definición estratégica emprendimiento 
28,Mercados laborales latinoamericanos,Identificar  los conceptos básicos del mercado laboral con aplicación en América Latina utilizando herramientas para desarrollar investigación independiente en el mercado de trabajo y el análisis de indicadores.,Economía y negocios,Introductorio ,"* Identificar los conceptos básicos del mercado laboral y el cálculo de indicadores como base para la comprensión de los comportamientos de la oferta y la demanda laboral.

* Comprender los elementos de la demanda laboral, los comportamientos de los actores, las restricciones que existen, las opciones para superar barreras o para incentivar el mejor desempeño en el mercado y la relación de estos elementos con otras dinámicas de los mercados laborales.

* Comprender los elementos de la oferta laboral, los modelos de la oferta y cómo influyen las decisiones de los agentes y los determinantes de la productividad en las dinámicas de los mercados laborales. 

* Analizar la interacción entre la oferta y la demanda, las causas y tipos de desempleo, así como las rigideces y sus efectos en los mercados laborales para estar en capacidad de comprender y debatir acerca de los comportamientos de la oferta y la demanda de trabajo. ",identificar conceptos básicos mercado laboral cálculo indicadores comprensión comportamientos oferta demanda laboral comprender elementos demanda laboral comportamientos actores restricciones existen opciones superar barreras incentivar mejor desempeño mercado relación elementos dinámicas mercados laborales comprender elementos oferta laboral modelos oferta influyen decisiones agentes determinantes productividad dinámicas mercados laborales analizar interacción oferta demanda causas tipos desempleo rigideces efectos mercados laborales capacidad comprender debatir acerca comportamientos oferta demanda trabajo 
